lhgr,fuel_radius,gap_size,clad_thickness,coolant_temperature,time,volAverage(T),volAverage(Bu)
16666.7,0.0045,0.0002,0.0005,563.1,0.0,300.0,0.0
16666.7,0.0045,0.0002,0.0005,563.1,1.0,573.168,4.853749e-06
16666.7,0.0045,0.0002,0.0005,563.1,60.0,1097.574,0.01718712
16666.7,0.0045,0.0002,0.0005,563.1,43357.79307042377,1097.95,12.62658
16666.7,0.0045,0.0002,0.0005,563.1,386734.9981360301,1089.96,112.6266
16666.7,0.0045,0.0002,0.0005,563.1,730112.2032016364,1071.261,212.6266
16666.7,0.0045,0.0002,0.0005,563.1,1073489.4082672428,1059.906,312.6266
16666.7,0.0045,0.0002,0.0005,563.1,1416866.6133328495,1051.67,412.6266
16666.7,0.0045,0.0002,0.0005,563.1,1760243.8183984559,1045.169,512.6266
16666.7,0.0045,0.0002,0.0005,563.1,2103621.0234640623,1039.777,612.6266
16666.7,0.0045,0.0002,0.0005,563.1,2446998.228529669,1035.162,712.6266
16666.7,0.0045,0.0002,0.0005,563.1,2790375.4335952755,1031.126,812.6266
16666.7,0.0045,0.0002,0.0005,563.1,3133752.638660882,1027.544,912.6266
16666.7,0.0045,0.0002,0.0005,563.1,3477129.8437264888,1024.327,1012.627
16666.7,0.0045,0.0002,0.0005,563.1,3820507.0487920954,1021.409,1112.627
16666.7,0.0045,0.0002,0.0005,563.1,4163884.253857702,1018.744,1212.627
16666.7,0.0045,0.0002,0.0005,563.1,4507261.458923308,1016.293,1312.627
16666.7,0.0045,0.0002,0.0005,563.1,4850638.663988914,1014.028,1412.627
16666.7,0.0045,0.0002,0.0005,563.1,5194015.8690545205,1011.925,1512.627
16666.7,0.0045,0.0002,0.0005,563.1,5537393.074120127,1009.962,1612.627
16666.7,0.0045,0.0002,0.0005,563.1,5880770.279185733,1008.126,1712.627
16666.7,0.0045,0.0002,0.0005,563.1,6224147.484251339,1006.401,1812.627
16666.7,0.0045,0.0002,0.0005,563.1,6567524.689316945,1004.776,1912.627
16666.7,0.0045,0.0002,0.0005,563.1,6910901.894382551,1003.243,2012.627
16666.7,0.0045,0.0002,0.0005,563.1,7254279.0994481575,1001.791,2112.627
16666.7,0.0045,0.0002,0.0005,563.1,7597656.304513764,1000.414,2212.627
16666.7,0.0045,0.0002,0.0005,563.1,7941033.50957937,999.1064,2312.627
16666.7,0.0045,0.0002,0.0005,563.1,8284410.714644976,997.8611,2412.627
16666.7,0.0045,0.0002,0.0005,563.1,8627787.919710582,996.6738,2512.627
16666.7,0.0045,0.0002,0.0005,563.1,8971165.124776188,995.5401,2612.627
16666.7,0.0045,0.0002,0.0005,563.1,9314542.329841794,994.456,2712.627
16666.7,0.0045,0.0002,0.0005,563.1,9657919.5349074,993.4181,2812.627
16666.7,0.0045,0.0002,0.0005,563.1,10001296.739973007,992.4232,2912.627
16666.7,0.0045,0.0002,0.0005,563.1,10344673.945038613,991.4685,3012.627
16666.7,0.0045,0.0002,0.0005,563.1,10688051.15010422,990.5514,3112.627
16666.7,0.0045,0.0002,0.0005,563.1,11031428.355169825,989.6697,3212.627
16666.7,0.0045,0.0002,0.0005,563.1,11374805.560235431,988.8211,3312.627
16666.7,0.0045,0.0002,0.0005,563.1,11718182.765301038,988.0038,3412.627
16666.7,0.0045,0.0002,0.0005,563.1,12061559.970366644,987.216,3512.627
16666.7,0.0045,0.0002,0.0005,563.1,12404937.17543225,986.4561,3612.627
16666.7,0.0045,0.0002,0.0005,563.1,12748314.380497856,985.7226,3712.627
16666.7,0.0045,0.0002,0.0005,563.1,13091691.585563462,985.0141,3812.627
16666.7,0.0045,0.0002,0.0005,563.1,13435068.790629068,984.3293,3912.627
16666.7,0.0045,0.0002,0.0005,563.1,13778445.995694675,983.6671,4012.627
16666.7,0.0045,0.0002,0.0005,563.1,14121823.20076028,983.0265,4112.627
16666.7,0.0045,0.0002,0.0005,563.1,14465200.405825885,982.4063,4212.627
16666.7,0.0045,0.0002,0.0005,563.1,14808577.61089149,981.8056,4312.627
16666.7,0.0045,0.0002,0.0005,563.1,15151954.815957094,981.2235,4412.627
16666.7,0.0045,0.0002,0.0005,563.1,15495332.021022698,980.6594,4512.627
16666.7,0.0045,0.0002,0.0005,563.1,15838709.226088302,980.1122,4612.627
16666.7,0.0045,0.0002,0.0005,563.1,16182086.431153907,979.5814,4712.627
16666.7,0.0045,0.0002,0.0005,563.1,16525463.63621951,979.0663,4812.627
16666.7,0.0045,0.0002,0.0005,563.1,16868840.841285117,978.5687,4912.627
16666.7,0.0045,0.0002,0.0005,563.1,17212218.04635072,978.767,5012.627
16666.7,0.0045,0.0002,0.0005,563.1,17555595.251416326,978.9659,5112.627
16666.7,0.0045,0.0002,0.0005,563.1,17898972.45648193,979.1652,5212.627
16666.7,0.0045,0.0002,0.0005,563.1,18242349.661547534,979.3087,5312.627
16666.7,0.0045,0.0002,0.0005,563.1,18585726.86661314,979.2975,5412.627
16666.7,0.0045,0.0002,0.0005,563.1,18929104.071678743,979.2868,5512.627
16666.7,0.0045,0.0002,0.0005,563.1,19272481.276744347,979.2765,5612.627
